atomic number, thickness (nm), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
79, 750, 15000, 1000000, 1, 0.550327, 2.47467e-07, 0.000497461, 0, 0, 0, 124.077
79, 1000, 15000, 1000000, 1, 0.549956, 2.47504e-07, 0.000497498, 0, 0, 0, 124.146
79, 1250, 15000, 1000000, 1, 0.550384, 2.47461e-07, 0.000497455, 0, 0, 0, 124.051
79, 1500, 15000, 1000000, 1, 0.5504, 2.4746e-07, 0.000497453, 0, 0, 0, 124.127
79, 1750, 15000, 1000000, 1, 0.551053, 2.47394e-07, 0.000497387, 0, 0, 0, 123.947
79, 2000, 15000, 1000000, 1, 0.55013, 2.47487e-07, 0.000497481, 0, 0, 0, 124.137
79, 2250, 15000, 1000000, 1, 0.550542, 2.47446e-07, 0.000497439, 0, 0, 0, 124.045
79, 2500, 15000, 1000000, 1, 0.550749, 2.47425e-07, 0.000497418, 0, 0, 0, 124.066
79, 3000, 15000, 1000000, 1, 0.550783, 2.47421e-07, 0.000497414, 0, 0, 0, 124.06
79, 4000, 15000, 1000000, 1, 0.550533, 2.47446e-07, 0.00049744, 0, 0, 0, 123.993
79, 5000, 15000, 1000000, 1, 0.551295, 2.47369e-07, 0.000497362, 0, 0, 0, 123.938
