atomic number, density (g/cm3), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
29, 8.96, 15000, 1000000, 1, 0.328932, 2.20736e-07, 0.000469825, 0, 0, 0, 86.1914
29, 8.96, 15000, 1000000, 2, 0.329094, 2.20791e-07, 0.000469884, 0, 0, 0, 86.2044
29, 8.96, 15000, 1000000, 3, 0.3286, 2.20622e-07, 0.000469704, 0, 0, 0, 86.2455
29, 8.96, 15000, 1000000, 4, 0.328707, 2.20659e-07, 0.000469743, 0, 0, 0, 86.2027
29, 8.96, 15000, 1000000, 5, 0.328466, 2.20576e-07, 0.000469655, 0, 0, 0, 86.2355
29, 8.96, 15000, 1000000, 6, 0.32938, 2.20889e-07, 0.000469988, 0, 0, 0, 86.1154
29, 8.96, 15000, 1000000, 7, 0.32838, 2.20547e-07, 0.000469624, 0, 0, 0, 86.2741
29, 8.96, 15000, 1000000, 8, 0.329958, 2.21086e-07, 0.000470198, 0, 0, 0, 86.32
29, 8.96, 15000, 1000000, 9, 0.328881, 2.20718e-07, 0.000469807, 0, 0, 0, 86.2469
29, 8.96, 15000, 1000000, 10, 0.328533, 2.20599e-07, 0.00046968, 0, 0, 0, 86.2843
29, 9, 15000, 1000000, 1, 0.328606, 2.20624e-07, 0.000469706, 0, 0, 0, 86.3459
29, 9, 15000, 1000000, 2, 0.329146, 2.20809e-07, 0.000469903, 0, 0, 0, 86.1654
29, 9, 15000, 1000000, 3, 0.329016, 2.20764e-07, 0.000469856, 0, 0, 0, 86.2482
29, 9, 15000, 1000000, 4, 0.329217, 2.20833e-07, 0.000469929, 0, 0, 0, 86.1414
29, 9, 15000, 1000000, 5, 0.329422, 2.20903e-07, 0.000470003, 0, 0, 0, 86.2082
29, 9, 15000, 1000000, 6, 0.329425, 2.20904e-07, 0.000470004, 0, 0, 0, 86.1734
29, 9, 15000, 1000000, 7, 0.330027, 2.21109e-07, 0.000470222, 0, 0, 0, 86.1467
29, 9, 15000, 1000000, 8, 0.329603, 2.20965e-07, 0.000470069, 0, 0, 0, 86.1734
29, 9, 15000, 1000000, 9, 0.32872, 2.20663e-07, 0.000469748, 0, 0, 0, 86.2637
29, 9, 15000, 1000000, 10, 0.328682, 2.2065e-07, 0.000469734, 0, 0, 0, 86.2486
29, 10, 15000, 1000000, 1, 0.328737, 2.20669e-07, 0.000469754, 0, 0, 0, 86.1821
29, 10, 15000, 1000000, 2, 0.328947, 2.20741e-07, 0.000469831, 0, 0, 0, 86.22
29, 10, 15000, 1000000, 3, 0.3295, 2.2093e-07, 0.000470032, 0, 0, 0, 86.1814
29, 10, 15000, 1000000, 4, 0.329471, 2.2092e-07, 0.000470021, 0, 0, 0, 86.1786
29, 10, 15000, 1000000, 5, 0.328391, 2.2055e-07, 0.000469628, 0, 0, 0, 86.239
29, 10, 15000, 1000000, 6, 0.328747, 2.20672e-07, 0.000469758, 0, 0, 0, 86.2378
29, 10, 15000, 1000000, 7, 0.329282, 2.20855e-07, 0.000469953, 0, 0, 0, 86.1752
29, 10, 15000, 1000000, 8, 0.329, 2.20759e-07, 0.00046985, 0, 0, 0, 86.2049
29, 10, 15000, 1000000, 9, 0.328652, 2.2064e-07, 0.000469723, 0, 0, 0, 86.2001
29, 10, 15000, 1000000, 10, 0.328897, 2.20724e-07, 0.000469812, 0, 0, 0, 86.1651
29, 11, 15000, 1000000, 1, 0.328391, 2.2055e-07, 0.000469628, 0, 0, 0, 86.2752
29, 11, 15000, 1000000, 2, 0.328723, 2.20664e-07, 0.000469749, 0, 0, 0, 86.2316
29, 11, 15000, 1000000, 3, 0.329174, 2.20818e-07, 0.000469913, 0, 0, 0, 86.2473
29, 11, 15000, 1000000, 4, 0.328662, 2.20643e-07, 0.000469727, 0, 0, 0, 86.235
29, 11, 15000, 1000000, 5, 0.329378, 2.20888e-07, 0.000469987, 0, 0, 0, 86.1983
29, 11, 15000, 1000000, 6, 0.3289, 2.20725e-07, 0.000469814, 0, 0, 0, 86.2734
29, 11, 15000, 1000000, 7, 0.328677, 2.20648e-07, 0.000469732, 0, 0, 0, 86.2286
29, 11, 15000, 1000000, 8, 0.329813, 2.21036e-07, 0.000470145, 0, 0, 0, 86.0859
29, 11, 15000, 1000000, 9, 0.329359, 2.20882e-07, 0.00046998, 0, 0, 0, 86.1923
29, 11, 15000, 1000000, 10, 0.329457, 2.20915e-07, 0.000470016, 0, 0, 0, 86.6879
